ஃ x 
ஏற்றுக்கொள்கிறாள் ʲeːt̺t̺ʳɨkko̞ɭgʲɪɾɑ˞ːɭ 
ஏற்றுக்கொள்ள ʲeːt̺t̺ʳɨkko̞ɭɭə 
ஏற்றுக்கொள்ளக்கூடிய ʲeːt̺t̺ʳɨkko̞ɭɭʌkku˞ːɽɪɪ̯ə 
ஏற்றுக்கொள்ளத் ʲeːt̺t̺ʳɨkko̞ɭɭʌt̪ 
ஏற்றுக்கொள்ளப்படுவார் ʲeːt̺t̺ʳɨkko̞ɭɭʌppʌ˞ɽɨʋɑːr 
ஏற்றுக்கொள்ளப்பட்டதாகும் ʲeːt̺t̺ʳɨkko̞ɭɭʌppʌ˞ʈʈʌðɑːxɨm 
ஏற்றுக்கொள்ளப்பட்டு ʲeːt̺t̺ʳɨkko̞ɭɭʌppʌ˞ʈʈɨ 
ஏற்றுக்கொள்ளமாட்டார்கள் ʲeːt̺t̺ʳɨkko̞ɭɭʌmɑ˞ːʈʈɑːrɣʌ˞ɭ 
ஏற்றுக்கொள்ளமுடியவில்லை ʲeːt̺t̺ʳɨkko̞ɭɭʌmʉ̩˞ɽɪɪ̯ʌʋɪllʌɪ̯ 
ஏற்றுக்கொள்ளலாம் ʲeːt̺t̺ʳɨkko̞ɭɭʌlɑːm 
ஏற்றுக்கொள்ளவில்லை ʲeːt̺t̺ʳɨkko̞ɭɭʌʋɪllʌɪ̯ 
ஏற்றுக்கொள்ளாது ʲeːt̺t̺ʳɨkko̞ɭɭɑːðɨ 
ஏற்றுக்கொள்ளும் ʲeːt̺t̺ʳɨkko̞ɭɭɨm 
ஏற்றுக்கொள்வதில் ʲeːt̺t̺ʳɨkko̞ɭʋʌðɪl 
ஏற்றுக்கொள்வது ʲeːt̺t̺ʳɨkko̞ɭʋʌðɨ 
ஏற்றுக்கொள்வதை ʲeːt̺t̺ʳɨkko̞ɭʋʌðʌɪ̯ 
ஏற்றுக்கொள்வீர்களா ʲeːt̺t̺ʳɨkko̞ɭʋiːrɣʌ˞ɭʼɑː 
ஏற்றுச் ʲeːt̺t̺ʳɨtʃ 
ஏற்றுமதி ʲeːt̺t̺ʳɨmʌðɪˑ 
ஏற்றுமதிக்காக ʲeːt̺t̺ʳɨmʌðɪkkɑːxə 
ஏற்றுமதிக்கான ʲeːt̺t̺ʳɨmʌðɪkkɑːn̺ə 
ஏற்றுமதிக்கு ʲeːt̺t̺ʳɨmʌðɪkkɨ 
ஏற்றுமதிக்குத் ʲeːt̺t̺ʳɨmʌðɪkkɨt̪ 
ஏற்றுமதிக்கும் ʲeːt̺t̺ʳɨmʌðɪkkɨm 
ஏற்றுமதித் ʲeːt̺t̺ʳɨmʌðɪt̪ 
ஏற்றுமதியாகிறது ʲeːt̺t̺ʳɨmʌðɪɪ̯ɑːçɪɾʌðɨ 
ஏற்றுமதியாகும் ʲeːt̺t̺ʳɨmʌðɪɪ̯ɑːxɨm 
ஏற்றுமதியாவது ʲeːt̺t̺ʳɨmʌðɪɪ̯ɑːʋʌðɨ 
ஏற்றுமதியின் ʲeːt̺t̺ʳɨmʌðɪɪ̯ɪn̺ 
ஏற்றுமதியிலும் ʲeːt̺t̺ʳɨmʌðɪɪ̯ɪlɨm 
ஏற்றுமதியிலேயே ʲeːt̺t̺ʳɨmʌðɪɪ̯ɪleːɪ̯eˑ 
ஏற்றுமதியில் ʲeːt̺t̺ʳɨmʌðɪɪ̯ɪl 
ஏற்றுமதியும் ʲeːt̺t̺ʳɨmʌðɪɪ̯ɨm 
ஏற்றுமதியை ʲeːt̺t̺ʳɨmʌðɪɪ̯ʌɪ̯ 
ஏற்றுமதியையும் ʲeːt̺t̺ʳɨmʌðɪɪ̯ʌjɪ̯ɨm 
ஏற்றும் ʲeːt̺t̺ʳɨm 
ஏற்றுள்ள ʲeːt̺t̺ʳɨ˞ɭɭə 
ஏற்ற‌வாறு ʲeːt̺t̺ʳʌ‌ʋɑːɾɨ 
ஏல ʲeːlə 
ஏலத் ʲeːlʌt̪ 
ஏலத்தில் ʲeːlʌt̪t̪ɪl 
ஏலத்தை ʲeːlʌt̪t̪ʌɪ̯ 
ஏலத்தொகை ʲeːlʌt̪t̪o̞xʌɪ̯ 
ஏலம் ʲeːlʌm 
ஏளனமாய்ப் ʲe˞ːɭʼʌn̺ʌmɑːɪ̯p 
ஏழு ʲe˞ːɻɨ 
ஏழுமலை ʲe˞ːɻɨmʌlʌɪ̯ 
ஏழை ʲe˞ːɻʌɪ̯ 
ஏழைகளாலும் ʲe˞ːɻʌɪ̯xʌ˞ɭʼɑːlɨm 
ஏழைகளுக்கான ʲe˞ːɻʌɪ̯xʌ˞ɭʼɨkkɑːn̺ə 
ஏழைகளுக்கு ʲe˞ːɻʌɪ̯xʌ˞ɭʼɨkkɨ 
ஏழைகளுக்குக் ʲe˞ːɻʌɪ̯xʌ˞ɭʼɨkkɨk 
ஏழைகள் ʲe˞ːɻʌɪ̯xʌ˞ɭ 
ஏழைக் ʲe˞ːɻʌɪ̯k 
ஏழைச்சிறுவர்களைப் ʲe˞ːɻʌɪ̯tʃtʃɪɾɨʋʌrɣʌ˞ɭʼʌɪ̯p 
ஏழைதான் ʲe˞ːɻʌɪ̯ðɑːn̺ 
ஏழைமக்களை ʲe˞ːɻʌɪ̯mʌkkʌ˞ɭʼʌɪ̯ 
ஏழையாக ʲe˞ːɻʌjɪ̯ɑːxə 
ஏழையான் ʲe˞ːɻʌjɪ̯ɑːn̺ 
ஏழையெளிய ʲe˞ːɻʌjɪ̯ɛ̝ɭʼɪɪ̯ə 
ஏழ்மை ʲe˞ːɻmʌɪ̯ 
ஏழ்மைக் ʲe˞ːɻmʌɪ̯k 
ஏழ்மையான ʲe˞ːɻmʌjɪ̯ɑːn̺ə 
ஏழ்மையை ʲe˞ːɻmʌjɪ̯ʌɪ̯ 
ஏவவுள்ளது ʲeːʋʌʋʉ̩˞ɭɭʌðɨ 
ஏவிஎம் ʲeːʋɪʲɛ̝m 
ஏவியேட்டர் ʲeːʋɪɪ̯e˞ːʈʈʌr 
ஐ ˀʌɪ̯ 
ஐஆர்சிடிசி ˀʌɪ̯ɑːrtʃɪ˞ɽɪsɪˑ 
ஐஆர்டிஏ ˀʌɪ̯ɑːrʈɪ_eˑ 
ஐஎன்ஜி ˀʌɪ̯ɛ̝n̺dʒɪˑ 
ஐஎம்எப் ˀʌɪ̯ɛ̝mɛ̝p 
ஐஎஸ்இடி ˀʌɪ̯ɛ̝sɪ˞ɽɪˑ 
ஐஏஎஸ் ˀʌɪ̯eːʲɛ̝s 
ஐஐஎப்எல் ˀʌɪ̯ʌɪ̯ɛ̝βɛ̝l 
ஐஐஎம் ˀʌɪ̯ʌɪ̯ɛ̝m 
ஐஐடி ˀʌɪ̯ʌɪ̯ʈɪˑ 
ஐஐடியில் ˀʌɪ̯ʌɪ̯ʈɪɪ̯ɪl 
ஐகான் ˀʌɪ̯xɑːn̺ 
ஐகாவா ˀʌɪ̯xɑːʋɑː 
ஐகேஷ் ˀʌɪ̯xeːʂ 
ஐகோர்ட்டின் ˀʌɪ̯xoːrʈʈɪn̺ 
ஐகோர்ட்டில் ˀʌɪ̯xoːrʈʈɪl 
ஐகோர்ட்டு ˀʌɪ̯xoːrʈʈɨ 
ஐகோர்ட்டுக்கு ˀʌɪ̯xoːrʈʈɨkkɨ 
ஐகோர்ட்டையும் ˀʌɪ̯xoːrʈʈʌjɪ̯ɨm 
ஐக்கிய ˀʌjccɪɪ̯ə 
ஐக்கியம் ˀʌjccɪɪ̯ʌm 
ஐக்யூ ˀʌɪ̯kɪ̯uˑ 
ஐசிஐசிஐ ˀʌɪ̯tʃɪˀʌɪ̯tʃɪˀʌɪ̯ 
ஐசிஐஜே ˀʌɪ̯tʃɪˀʌɪ̯dʒeˑ 
ஐடி ˀʌɪ̯ʈɪˑ 
ஐடிஇ ˀʌɪ̯ʈɪ_ɪˑ 
ஐடிஎல் ˀʌɪ̯ʈɪʲɛ̝l 
ஐடிஐ ˀʌɪ̯ʈɪˀʌɪ̯ 
ஐடிசியும் ˀʌɪ̯ʈɪsɪɪ̯ɨm 
ஐடிபிஐ ˀʌɪ̯ʈɪβɪˀʌɪ̯ 
ஐடியா ˀʌɪ̯ʈɪɪ̯ɑː 
ஐடியாவுக்காக ˀʌɪ̯ʈɪɪ̯ɑːʋʉ̩kkɑːxə 
ஐடியாவையும் ˀʌɪ̯ʈɪɪ̯ɑːʋʌjɪ̯ɨm 
ஐடியாவோடு ˀʌɪ̯ʈɪɪ̯ɑːʋo˞ːɽɨ 
ஐட்லரையும் ˀʌɪ̯ʈlʌɾʌjɪ̯ɨm 
ஐட்லர் ˀʌɪ̯ʈlʌr 
ஐதராபாத் ˀʌɪ̯ðʌɾɑːβɑːt̪ 
ஐநா ˀʌɪ̯n̺ɑː 
ஐநாக்ஸ் ˀʌɪ̯n̺ɑːks 
ஐந்தாண்டு ˀʌɪ̯n̪d̪ɑ˞ːɳɖɨ 
ஐந்தாண்டுகளில் ˀʌɪ̯n̪d̪ɑ˞ːɳɖɨxʌ˞ɭʼɪl 
ஐந்தாண்டுகளுக்கு ˀʌɪ̯n̪d̪ɑ˞ːɳɖɨxʌ˞ɭʼɨkkɨ 
ஐந்தாண்டுகள் ˀʌɪ̯n̪d̪ɑ˞ːɳɖɨxʌ˞ɭ 
ஐந்தாண்டுகால ˀʌɪ̯n̪d̪ɑ˞ːɳɖɨxɑːlə 
ஐந்தாம் ˀʌɪ̯n̪d̪ɑːm 
ஐந்தாவது ˀʌɪ̯n̪d̪ɑːʋʌðɨ 
ஐந்தில் ˀʌɪ̯n̪d̪ɪl 
ஐந்து ˀʌɪ̯n̪d̪ɨ 
ஐந்துவருடம் ˀʌɪ̯n̪d̪ɨʋʌɾɨ˞ɽʌm 
ஐனஸை ˀʌɪ̯n̺ʌsʌɪ̯ 
ஐனஸ் ˀʌɪ̯n̺ʌs 
ஐபி ˀʌɪ̯βɪˑ 
ஐபிஎஸ் ˀʌɪ̯βɪʲɛ̝s 
ஐபிஓ ˀʌɪ̯βɪ_oˑ 
ஐபிடபிள்யூ ˀʌɪ̯βɪ˞ɽʌβɪ˞ɭɪ̯uˑ 
ஐபென் ˀʌɪ̯βɛ̝n̺ 
ஐபேட் ˀʌɪ̯βe˞ːʈ 
ஐபோனிலும் ˀʌɪ̯βoːn̺ɪlɨm 
ஐபோனை ˀʌɪ̯βoːn̺ʌɪ̯ 
ஐபோன் ˀʌɪ̯βoːn̺ 
ஐபோன்களுக்கான ˀʌɪ̯βoːn̺gʌ˞ɭʼɨkkɑːn̺ə 
ஐபோன்கள் ˀʌɪ̯βoːn̺gʌ˞ɭ 
ஐமேக் ˀʌɪ̯meːk 
ஐம்பது ˀʌɪ̯mbʌðɨ 
ஐம்பதுகளில் ˀʌɪ̯mbʌðɨxʌ˞ɭʼɪl 
ஐம்பதுக்கும் ˀʌɪ̯mbʌðɨkkɨm 
ஐயப்பன் ˀʌjɪ̯ʌppʌn̺ 
ஐயமில்லை ˀʌjɪ̯ʌmɪllʌɪ̯ 
ஐயம் ˀʌjɪ̯ʌm 
ஐயர்லாந்து ˀʌjɪ̯ʌrlɑːn̪d̪ɨ 
ஐயா ˀʌjɪ̯ɑː 
ஐய்யன் ˀʌjɪ̯ɪ̯ʌn̺ 
ஐரோப்பா ˀʌɪ̯roːppɑː 
ஐரோப்பாவின் ˀʌɪ̯roːppɑːʋɪn̺ 
ஐரோப்பாவிலிருந்து ˀʌɪ̯roːppɑːʋɪlɪɾɨn̪d̪ɨ 
ஐரோப்பாவில் ˀʌɪ̯roːppɑːʋɪl 
ஐரோப்பாவுக்கும் ˀʌɪ̯roːppɑːʋʉ̩kkɨm 
ஐரோப்பாவை ˀʌɪ̯roːppɑːʋʌɪ̯ 
ஐரோப்பாவைச் ˀʌɪ̯roːppɑːʋʌɪ̯tʃ 
ஐரோப்பிய ˀʌɪ̯roːppɪɪ̯ə 
ஐரோப்பியச் ˀʌɪ̯roːppɪɪ̯ʌtʃ 
ஐரோப்பியப் ˀʌɪ̯roːppɪɪ̯ʌp 
ஐரோப்பியரல்லாத ˀʌɪ̯roːppɪɪ̯ʌɾʌllɑːðə 
ஐரோப்பியராகவும் ˀʌɪ̯roːppɪɪ̯ʌɾɑːxʌʋʉ̩m 
ஐலண்ட் ˀʌɪ̯lʌ˞ɳɖ 
ஐவிஆர்எஸ் ˀʌɪ̯ʋɪˀɑːɾɛ̝s 
ஐவிஆர்சிஎல் ˀʌɪ̯ʋɪˀɑːrtʃɪʲɛ̝l 
ஐவெஸ் ˀʌɪ̯ʋɛ̝s 
ஐவோ ˀʌɪ̯ʋoˑ 
ஐவோவும் ˀʌɪ̯ʋoːʋʉ̩m 
ஐஷரின் ˀʌɪ̯ʂʌɾɪn̺ 
ஐஷருக்கு ˀʌɪ̯ʂʌɾɨkkɨ 
ஐஷரையே ˀʌɪ̯ʂʌɾʌjɪ̯eˑ 
ஐஷர் ˀʌɪ̯ʂʌr 
ஐஸ் ˀʌɪ̯s 
ஐஸ்கட்டி ˀʌɪ̯skʌ˞ʈʈɪˑ 
ஐஸ்கிரீம் ˀʌɪ̯skɪɾiːm 
ஐஸ்லாண்ட் ˀʌɪ̯slɑ˞ːɳɖ 
ஐஸ்லாந்தின் ˀʌɪ̯slɑːn̪d̪ɪn̺ 
ஐஸ்லாந்து ˀʌɪ̯slɑːn̪d̪ɨ 
ஐஸ்வால் ˀʌɪ̯sʋɑːl 
ஒ ʷo̞ 
ஒகேனக்கல் ʷo̞xeːn̺ʌkkʌl 
ஒக்கியம் ʷo̞kkʲɪɪ̯ʌm 
ஒக்கென்டென் ʷo̞kkɛ̝n̺ʈɛ̝n̺ 
ஒசாகா ʷo̞sɑːxɑː 
ஒசாக்கா ʷo̞sɑːkkɑː 
ஒசூரில் ʷo̞suːɾɪl 
ஒசூர் ʷo̞suːr 
ஒசை ʷo̞sʌɪ̯ 
ஒடி ʷo̞ɽɪˑ 
ஒடிசா ʷo̞ɽɪsɑː 
ஒடியது ʷo̞ɽɪɪ̯ʌðɨ 
ஒடிஷாவில் ʷo̞ɽɪʂɑːʋɪl 
ஒடிஸா ʷo̞ɽɪsɑː 
ஒடிஸாவின் ʷo̞ɽɪsɑːʋɪn̺ 
ஒடிஸாவில் ʷo̞ɽɪsɑːʋɪl 
ஒடிஸீஸ் ʷo̞ɽɪsiːs 
ஒடுக்கப்பட்ட ʷo̞ɽɨkkʌppʌ˞ʈʈə 
ஒடுக்கப்பட்டு ʷo̞ɽɨkkʌppʌ˞ʈʈɨ 
ஒடுக்குதல் ʷo̞ɽɨkkɨðʌl 
ஒடுக்குவதற்கு ʷo̞ɽɨkkɨʋʌðʌrkɨ 
ஒடுக்குவது ʷo̞ɽɨkkɨʋʌðɨ 
ஒட்ட ʷo̞ʈʈə 
ஒட்டக் ʷo̞ʈʈʌk 
ஒட்டடை ʷo̞ʈʈʌ˞ɽʌɪ̯ 
ஒட்டன்சத்திரத்தில் ʷo̞ʈʈʌn̺sʌt̪t̪ɪɾʌt̪t̪ɪl 
ஒட்டன்சத்திரம் ʷo̞ʈʈʌn̺sʌt̪t̪ɪɾʌm 
ஒட்டபிடாரம் ʷo̞ʈʈʌβɪ˞ɽɑːɾʌm 
ஒட்டப்பிடாரம் ʷo̞ʈʈʌppɪ˞ɽɑːɾʌm 
ஒட்டல் ʷo̞ʈʈʌl 
ஒட்டவோ ʷo̞ʈʈʌʋoˑ 
ஒட்டி ʷo̞ʈʈɪˑ 
ஒட்டிக்கொண்டது ʷo̞ʈʈɪkkɛ̝ˀɑ˞ːɳɖʌðɨ 
ஒட்டிய ʷo̞ʈʈɪɪ̯ə 
ஒட்டியதாக ʷo̞ʈʈɪɪ̯ʌðɑːxə 
ஒட்டியது ʷo̞ʈʈɪɪ̯ʌðɨ 
ஒட்டியப் ʷo̞ʈʈɪɪ̯ʌp 
ஒட்டியுள்ள ʷo̞ʈʈɪɪ̯ɨ˞ɭɭə 
ஒட்டியே ʷo̞ʈʈɪɪ̯eˑ 
ஒட்டு ʷo̞ʈʈɨ 
ஒட்டுண்ணி ʷo̞ʈʈɨ˞ɳɳɪˑ 
ஒட்டுதலாகப் ʷo̞ʈʈɨðʌlɑːxʌp 
ஒட்டுதலை ʷo̞ʈʈɨðʌlʌɪ̯ 
ஒட்டுபவர்களுக்கும் ʷo̞ʈʈɨβʌʋʌrɣʌ˞ɭʼɨkkɨm 
ஒட்டுமொத்த ʷo̞ʈʈɨmo̞t̪t̪ə 
ஒட்டுமொத்தத்தில் ʷo̞ʈʈɨmo̞t̪t̪ʌt̪t̪ɪl 
ஒட்டுமொத்தமாக ʷo̞ʈʈɨmo̞t̪t̪ʌmɑːxə 
ஒட்டுவது ʷo̞ʈʈɨʋʌðɨ 
ஒண்ணுமில்லை ʷo̞ɳɳɨmɪllʌɪ̯ 
ஒதுக் ʷo̞ðɨk 
ஒதுக்க ʷo̞ðɨkkə 
ஒதுக்கட்டும் ʷo̞ðɨkkʌ˞ʈʈɨm 
ஒதுக்கபட்டன ʷo̞ðɨkkʌβʌ˞ʈʈʌn̺ə 
ஒதுக்கபட்டு ʷo̞ðɨkkʌβʌ˞ʈʈɨ 
ஒதுக்கப் ʷo̞ðɨkkʌp 
ஒதுக்கப்பட ʷo̞ðɨkkʌppʌ˞ɽə 
ஒதுக்கப்படலாம் ʷo̞ðɨkkʌppʌ˞ɽʌlɑːm 
ஒதுக்கப்படவில்லையே ʷo̞ðɨkkʌppʌ˞ɽʌʋɪllʌjɪ̯eˑ 
ஒதுக்கப்படுகின்ற ʷo̞ðɨkkʌppʌ˞ɽɨçɪn̺d̺ʳə 
ஒதுக்கப்படுகிறதா ʷo̞ðɨkkʌppʌ˞ɽɨçɪɾʌðɑː 
ஒதுக்கப்படுகிறது ʷo̞ðɨkkʌppʌ˞ɽɨçɪɾʌðɨ 
ஒதுக்கப்படும் ʷo̞ðɨkkʌppʌ˞ɽɨm 
ஒதுக்கப்படுவதாக ʷo̞ðɨkkʌppʌ˞ɽɨʋʌðɑːxə 
ஒதுக்கப்படுவதுடன் ʷo̞ðɨkkʌppʌ˞ɽɨʋʌðɨ˞ɽʌn̺ 
ஒதுக்கப்பட் ʷo̞ðɨkkʌppʌ˞ʈ 
ஒதுக்கப்பட்ட ʷo̞ðɨkkʌppʌ˞ʈʈə 
ஒதுக்கப்பட்டதற்கான ʷo̞ðɨkkʌppʌ˞ʈʈʌðʌrkɑːn̺ə 
ஒதுக்கப்பட்டதில் ʷo̞ðɨkkʌppʌ˞ʈʈʌðɪl 
ஒதுக்கப்பட்டது ʷo̞ðɨkkʌppʌ˞ʈʈʌðɨ 
ஒதுக்கப்பட்டன ʷo̞ðɨkkʌppʌ˞ʈʈʌn̺ə 
ஒதுக்கப்பட்டவளே ʷo̞ðɨkkʌppʌ˞ʈʈʌʋʌ˞ɭʼeˑ 
ஒதுக்கப்பட்டாலும் ʷo̞ðɨkkʌppʌ˞ʈʈɑːlɨm 
ஒதுக்கப்பட்டால் ʷo̞ðɨkkʌppʌ˞ʈʈɑːl 
ஒதுக்கப்பட்டிருந்தது ʷo̞ðɨkkʌppʌ˞ʈʈɪɾɨn̪d̪ʌðɨ 
ஒதுக்கப்பட்டிருந்தன ʷo̞ðɨkkʌppʌ˞ʈʈɪɾɨn̪d̪ʌn̺ə 
ஒதுக்கப்பட்டிருப்பது ʷo̞ðɨkkʌppʌ˞ʈʈɪɾɨppʌðɨ 
ஒதுக்கப்பட்டு ʷo̞ðɨkkʌppʌ˞ʈʈɨ 
ஒதுக்கப்பட்டுள்ள ʷo̞ðɨkkʌppʌ˞ʈʈɨ˞ɭɭə 
ஒதுக்கப்பட்டுள்ளதாக ʷo̞ðɨkkʌppʌ˞ʈʈɨ˞ɭɭʌðɑːxə 
ஒதுக்கப்பட்டுள்ளது ʷo̞ðɨkkʌppʌ˞ʈʈɨ˞ɭɭʌðɨ 
ஒதுக்கப்பட்டுள்ளன ʷo̞ðɨkkʌppʌ˞ʈʈɨ˞ɭɭʌn̺ə 
ஒதுக்கலாம் ʷo̞ðɨkkʌlɑːm 
ஒதுக்கவில்லை ʷo̞ðɨkkʌʋɪllʌɪ̯ 
ஒதுக்கவும் ʷo̞ðɨkkʌʋʉ̩m 
ஒதுக்கவேண்டும் ʷo̞ðɨkkʌʋe˞ːɳɖɨm 
ஒதுக்கி ʷo̞ðɨkkʲɪˑ 
ஒதுக்கிக் ʷo̞ðɨkkʲɪk 
ஒதுக்கித் ʷo̞ðɨkkʲɪt̪ 
ஒதுக்கித்தந்துள்ளார் ʷo̞ðɨkkʲɪt̪t̪ʌn̪d̪ɨ˞ɭɭɑːr 
ஒதுக்கித்தர ʷo̞ðɨkkʲɪt̪t̪ʌɾə 
ஒதுக்கித்தரவும் ʷo̞ðɨkkʲɪt̪t̪ʌɾʌʋʉ̩m 
ஒதுக்கினார் ʷo̞ðɨkkʲɪn̺ɑːr 
ஒதுக்கிய ʷo̞ðɨkkʲɪɪ̯ə 
ஒதுக்கியதாக ʷo̞ðɨkkʲɪɪ̯ʌðɑːxə 
ஒதுக்கியது ʷo̞ðɨkkʲɪɪ̯ʌðɨ 
ஒதுக்கியதுடன் ʷo̞ðɨkkʲɪɪ̯ʌðɨ˞ɽʌn̺ 
ஒதுக்கியவுடன் ʷo̞ðɨkkʲɪɪ̯ʌʋʉ̩˞ɽʌn̺ 
ஒதுக்கியும் ʷo̞ðɨkkʲɪɪ̯ɨm 
ஒதுக்கியுள்ளது ʷo̞ðɨkkʲɪɪ̯ɨ˞ɭɭʌðɨ 
ஒதுக்கிவிட்டு ʷo̞ðɨkkʲɪʋɪ˞ʈʈɨ 
ஒதுக்கீடு ʷo̞ðɨkkʲi˞ːɽɨ 
ஒதுக்கீடுஅ ʷo̞ðɨkkʲi˞ːɽɨˀə 
ஒதுக்கீட்டின் ʷo̞ðɨkkʲi˞ːʈʈɪn̺ 
ஒதுக்கீட்டிலும் ʷo̞ðɨkkʲi˞ːʈʈɪlɨm 
ஒதுக்கீட்டில் ʷo̞ðɨkkʲi˞ːʈʈɪl 
ஒதுக்கீட்டை ʷo̞ðɨkkʲi˞ːʈʈʌɪ̯ 
ஒதுக்குகின்றனர் ʷo̞ðɨkkɨçɪn̺d̺ʳʌn̺ʌr 
ஒதுக்குங்கள் ʷo̞ðɨkkɨŋgʌ˞ɭ 
ஒதுக்கும் ʷo̞ðɨkkɨm 
ஒதுக்குவது ʷo̞ðɨkkɨʋʌðɨ 
ஒதுக்குவார் ʷo̞ðɨkkɨʋɑːr 
ஒதுக்கூவது ʷo̞ðɨkkuːʋʌðɨ 
ஒதுங்கியது ʷo̞ðɨŋʲgʲɪɪ̯ʌðɨ 
ஒதுங்கியுள்ள ʷo̞ðɨŋʲgʲɪɪ̯ɨ˞ɭɭə 
ஒத்தி ʷo̞t̪t̪ɪˑ 
ஒத்திப் ʷo̞t̪t̪ɪp 
ஒத்திருக்கின்ற ʷo̞t̪t̪ɪɾɨkkʲɪn̺d̺ʳə 
ஒத்திவைக்கப்படுகின்றன ʷo̞t̪t̪ɪʋʌjccʌppʌ˞ɽɨçɪn̺d̺ʳʌn̺ə 
ஒத்திவைக்கப்படுவதாக ʷo̞t̪t̪ɪʋʌjccʌppʌ˞ɽɨʋʌðɑːxə 
ஒத்திவைக்கப்படுவதாகவும் ʷo̞t̪t̪ɪʋʌjccʌppʌ˞ɽɨʋʌðɑːxʌʋʉ̩m 
ஒத்திவைக்கப்பட்டது ʷo̞t̪t̪ɪʋʌjccʌppʌ˞ʈʈʌðɨ 
ஒத்திவைத்தார் ʷo̞t̪t̪ɪʋʌɪ̯t̪t̪ɑːr 
ஒத்திவைத்திருக்கிறோம் ʷo̞t̪t̪ɪʋʌɪ̯t̪t̪ɪɾɨkkʲɪɾoːm 
ஒத்திவைத்துள்ளன ʷo̞t̪t̪ɪʋʌɪ̯t̪t̪ɨ˞ɭɭʌn̺ə 
ஒத்திவைப்பதா ʷo̞t̪t̪ɪʋʌɪ̯ppʌðɑː 
ஒத்திவைப்பது ʷo̞t̪t̪ɪʋʌɪ̯ppʌðɨ 
ஒத்திவைப்பு ʷo̞t̪t̪ɪʋʌɪ̯ppʉ̩ 
ஒத்து ʷo̞t̪t̪ɨ 
ஒத்துக் ʷo̞t̪t̪ɨk 
ஒத்துக்கொள்கிறான் ʷo̞t̪t̪ɨkko̞ɭgʲɪɾɑːn̺ 
ஒத்துபோவதால் ʷo̞t̪t̪ɨβoːʋʌðɑːl 
ஒத்துப்போகும் ʷo̞t̪t̪ɨppoːxɨm 
ஒத்துப்போனால் ʷo̞t̪t̪ɨppoːn̺ɑːl 
ஒத்துழைக்க ʷo̞t̪t̪ɨ˞ɻʌjccə 
ஒத்துழைக்கிறாள் ʷo̞t̪t̪ɨ˞ɻʌjccɪɾɑ˞ːɭ 
ஒத்துழைப்பதால் ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppʌðɑːl 
ஒத்துழைப்பு ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppʉ̩ 
ஒத்துழைப்புஅனைத்து ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppʉ̩ˀʌn̺ʌɪ̯t̪t̪ɨ 
ஒத்துழைப்புக்கு ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppʉ̩kkɨ 
ஒத்துழைப்புடன் ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppʉ̩˞ɽʌn̺ 
ஒத்துழைப்பும் ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppʉ̩m 
ஒத்துழைப்பை ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppʌɪ̯ 
ஒத்துழைப்பையும் ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppʌjɪ̯ɨm 
ஒத்துழைப்போடு ʷo̞t̪t̪ɨ˞ɻʌɪ̯ppo˞ːɽɨ 
ஒத்துவராததால் ʷo̞t̪t̪ɨʋʌɾɑːðʌðɑːl 
ஒத்துவராது ʷo̞t̪t̪ɨʋʌɾɑːðɨ 
ஒன் ʷo̞n̺ 
ஒன்பது ʷo̞n̺bʌðɨ 
ஒன்றன்பின் ʷo̞n̺d̺ʳʌn̺bɪn̺ 
ஒன்றரை ʷo̞n̺d̺ʳʌɾʌɪ̯ 
ஒன்றரைக் ʷo̞n̺d̺ʳʌɾʌɪ̯k 
ஒன்றாக ʷo̞n̺d̺ʳɑːxə 
ஒன்றாகக் ʷo̞n̺d̺ʳɑːxʌk 
ஒன்றாகச் ʷo̞n̺d̺ʳɑːxʌtʃ 
ஒன்றாகப் ʷo̞n̺d̺ʳɑːxʌp 
ஒன்றாகிவிட்டது ʷo̞n̺d̺ʳɑːçɪʋɪ˞ʈʈʌðɨ 
ஒன்றாகும் ʷo̞n̺d̺ʳɑːxɨm 
ஒன்றான ʷo̞n̺d̺ʳɑːn̺ə 
ஒன்றாம் ʷo̞n̺d̺ʳɑːm 
ஒன்றால் ʷo̞n̺d̺ʳɑːl 
ஒன்றிணைகிறார்கள் ʷo̞n̺d̺ʳɪ˞ɳʼʌɪ̯gʲɪɾɑːrɣʌ˞ɭ 
ஒன்றிணைத்தாரே ʷo̞n̺d̺ʳɪ˞ɳʼʌɪ̯t̪t̪ɑːɾeˑ 
ஒன்றிணைந்ததால் ʷo̞n̺d̺ʳɪ˞ɳʼʌɪ̯n̪d̪ʌðɑːl 
ஒன்றிணைந்து ʷo̞n̺d̺ʳɪ˞ɳʼʌɪ̯n̪d̪ɨ 
ஒன்றிணையாமல் ʷo̞n̺d̺ʳɪ˞ɳʼʌjɪ̯ɑːmʌl 
ஒன்றினால் ʷo̞n̺d̺ʳɪn̺ɑːl 
